Emerging Domain,Title of Priority Skill,Description of Priority Skill,Demand Growth,Transferability,No. of Job Posts in 2021 Requiring this Skill
Collaboration with Stakeholders,Collaborative Practices with Stakeholders Across Disciplines,"Analyse services, contributions and perspectives across disciplines, and implement collaborative practices to provide caregiving and education for all children",32.30%,2,7
Collaboration with Stakeholders,Conflict Management,"Build consensus, maintain the best interests of the organisation and utilise knowledge of conflict management techniques to diffuse tensions and achieve resolutions effectively",67.50%,358,2034
Collaboration with Stakeholders,Employee Relationship Management,Strengthen employee relationships and facilitate resolutions to conflicts and disputes,79.40%,206,5118
Collaboration with Stakeholders,Employee Engagement Management,"Drive employee engagement programmes to facilitate commitment from employees to organisational values, vision and objectives",92.80%,429,7226
Collaboration with Stakeholders,Family and Caregiver Engagement,"Recognise the central role of the family in every child's life and develop strategies for family engagement, nurturing trust and rapport building capabilities in a family to enhance child’s developmental outcome",100.00%,12,32
Collaboration with Stakeholders,Professional Consultation,"Provide guidance or professional assistance in response to requests from the clients, other professionals, external organisations and the general public",104.60%,400,3393
Collaboration with Stakeholders,Organisational Strategy Development,Influence the organisation's business strategies from the perspective of human resource (HR) and workforce capability,116.30%,30,81
Collaboration with Stakeholders,Volunteer Retention and Engagement,Conduct volunteer engagement and develop strategies to engage and retain volunteers,123.20%,43,289
Collaboration with Stakeholders,Inter-professional Collaboration,Apply an integrated approach to coordinate and deliver inter-professional interventions to clients,134.50%,4,22
Collaboration with Stakeholders,Volunteer Recruitment,Conduct volunteer recruitment activities,195.20%,32,180
Collaboration with Stakeholders,Community Partnership,Establish and foster partnerships with community stakeholders through a culture of collaboration to develop mutually beneficial programmes for children and families,200.40%,171,1355
Collaboration with Stakeholders,Situation Management with Families and Community,Manage challenging situations with families and community to build consensus among stakeholders and achieve resolutions effectively,217.50%,15,64
Health and Wellness,Health Promotion,Raise awareness to maintain and optimise health and well-being of clients,30.10%,254,1821
Health and Wellness,Resilience and Self-care,Practise activities that enhance overall health and well-being to enable continued practice as a professional in the sector,114.20%,82,413
Health and Wellness,Mental Health and Well-being Support,"Promote awareness of common mental health conditions and provide support to person with mental health issues, including guiding towards appropriate professional help",156.00%,25,64
Health and Wellness,"Health, Hygiene and Nutrition for Children","Establish health, hygiene and nutrition standards and procedures that support children’s development",158.60%,265,2369
Health and Wellness,Child Safety and Protection,"Implement safety standards and procedures, and appropriate courses of action to ensure the safety and protection of children",276.80%,33,214
Health and Wellness,Health Education Programme Development and Implementation,"Plan, conduct and evaluate health education programmes to promote health and prevent illnesses",300.00%,1,4
