Emerging Domain,Title of Priority Skill,Description of Priority Skill,Demand Growth,Transferability,No. of Job Posts in 2021 Requiring this Skill
"AI, Data and Analytics",Analytical Method Validation,"Verify analytical methods used to ensure accuracy, validity and reliability of methods",47.80%,26,142
"AI, Data and Analytics",Artificial Intelligence Application,"Apply algorithmic, statistical and engineering knowledge to integrate artificial intelligence into engineering processes",41.80%,760,22660
"AI, Data and Analytics",Artificial Intelligence Ethics and Governance,"Establish and drive Artificial Intelligence Ethics and Governance frameworks to ensure compliance, manage risks and commercial benefits in product design",146.60%,20,45
"AI, Data and Analytics",Business Data Analysis,"Implementing data analytics within the organisation to generate business insights and intelligence through the use of statistical and computational techniques and tools, algorithms, predictive data modelling and data visualisation",52.90%,104,779
"AI, Data and Analytics",Business Insights,Define and operationalise business metrics and hypotheses to enable data analytics and business insight generation to inform business and strategy,59.30%,473,10482
"AI, Data and Analytics",Computational Modelling,"Develop, select and apply algorithms and advanced computational methods to enable systems or software agents to learn, improve, adapt and produce desired outcomes or tasks. This also involves the interpretation of data, including the application of data modelling techniques to explore and address a specific issues or requirements",344.10%,34,438
"AI, Data and Analytics",Computer Vision Technology,Develop and deploy vision analytics algorithm and spatial sensing and/or reasoning systems,86.20%,144,3416
"AI, Data and Analytics",Data Analysis and Interpretation,Extract meaningful patterns and insights from data to improve organisational performance and decision-making,39.30%,204,1905
"AI, Data and Analytics",Data Analytics System Design,Integrate the use of data analytics in the production environment for the identification of bottlenecks and system improvements,400.00%,5,25
"AI, Data and Analytics",Data and Information Visualisation,"Combine communication, data science and design to present complex insights and information in a manner that facilitates meaningful storytelling and better decision-making for the organisation",333.30%,10,26
"AI, Data and Analytics",Data Collection and Analysis,"Collect, extract and interpret data according to defined requirements to obtain project insights",100.10%,378,4730
"AI, Data and Analytics",Data Collection and Preparation,Collect human resource (HR) data from employees for the purpose of generating business and HR insights,103.50%,110,1096
"AI, Data and Analytics",Data Design,"Specify and create a data structure or database model, including the setting of various parameters or fields that can be modified to suit different structured or unstructured data requirements, the design of data flow, as well as the development of mechanisms for maintenance, storage and retrieval of data based on the business requirements",67.30%,232,7387
"AI, Data and Analytics",Data Engineering,"Develop and implement efficient and stable processes to collect, store, extract, transform, load and integrate data at various stages in the data pipeline. This also involves processing varying amounts of data from a variety of sources and preparing data in a structure that is easily access and analysed according to business requirements",76.90%,691,23043
"AI, Data and Analytics",Data Sharing,Assess the value of data to achieve a competitive advantage and business objectives,17.00%,16,136
"AI, Data and Analytics",Data Storytelling and Visualisation,"Combine data insights, dynamic visual displays with illustrative and interactive graphics and narrative representative formats to present patterns, trends, meaning, messages and analytical insights from data or new concepts in a strategic manner",321.70%,18,75
"AI, Data and Analytics",Data Visualisation,"Implement contemporary techniques, dynamic visual displays with illustrative and interactive graphics to present patterns, trends, analytical insights from data or new concepts in a strategic manner for the intended audience",65.00%,468,8655
"AI, Data and Analytics",Data-mining and Modelling,Establish and deploy data modelling techniques to support narrative and predictive analytics efforts and identify trends and patterns for simulation and forecasting purposes,76.80%,88,1812
"AI, Data and Analytics",Finance Business Partnering,Generate finance-related insights to support the business in a strategic manner,126.80%,125,817
"AI, Data and Analytics",Financial Analysis,Analyse the financial statements and data to provide insights about the financial performance and position of the organisation over time,21.90%,365,8088
"AI, Data and Analytics",Financial Modelling,Develop financial models and valuation models to arrive at a valuation conclusion,26.40%,363,6932
"AI, Data and Analytics",Financial Planning and Analysis,"Facilitate strategic decision-making on the organisation’s business finances by collating, verifying and analysing financial data in reports",38.60%,80,341
"AI, Data and Analytics",Human Resource Analytics and Insights,Deploy statistical and analytical techniques and tools to generate human resource-related insights and projections to support the business,93.00%,63,489
"AI, Data and Analytics",Infographics and Data Visualisation,"Present data using meaningful visual illustrations, iconographies, graphs and charts for easy and accessible discovery and communication of data insights aimed at specific business objectives",100.30%,214,2153
"AI, Data and Analytics",Information Collection,Gather and measure data on topics targeted to answer relevant questions,61.80%,400,2826
"AI, Data and Analytics",Information Gathering and Analysis,Collect and analyse information and data to obtain business insights for business activities,43.40%,18,59
"AI, Data and Analytics",Intelligent Reasoning,"Design and build intelligent machine reasoning systems that can integrate, make sense of, and act upon heterogeneous sensory information sources, using domain knowledge accumulated in respective industries",107.60%,284,7551
"AI, Data and Analytics",Laboratory Data Analysis,Analyse laboratory data,524.50%,11,39
"AI, Data and Analytics",Machine Learning Application,"Apply machine learning knowledge and algorithms, optimize the models learned into project execution and maintenance processes",81.70%,32,84
"AI, Data and Analytics",Macroeconomic Analysis,Evaluate impact of external factors on the organisation,84.30%,78,363
"AI, Data and Analytics",Pattern Recognition Systems,Develop and apply intelligent pattern recognition systems and techniques to analyse data and derive useful hidden patterns to solve problems,22.80%,26,285
"AI, Data and Analytics",Plant Economic Modelling,"Develop plant economic models for current operations, and growth scenarios according to business plans, to forecast optimal plant and economic configurations for supply and demand",41.40%,3,8
"AI, Data and Analytics",Quantitative Research,"Conduct and lead systematic statistical, mathematical and numerical analyses to formulate facts, uncover patterns in research, test hypotheses and draw sound conclusions for problem-solving",68.20%,158,1655
"AI, Data and Analytics",Risk Analytics,"Utilise quantitative methods, stress testing approaches and risk modelling to support robust integrated risk management frameworks and methodologies",46.10%,130,1027
"AI, Data and Analytics",Scenario Planning and Analysis,Define problem statements and analyse data to simulate impact to business operations and propose suitable follow-up actions to sustain operations and achieve business objectives,18.40%,209,1172
"AI, Data and Analytics",Text Analytics and Processing,"Identify, extract and analyse text data using text analytics solutions to discover themes, patterns and trends",71.00%,6,45
"AI, Data and Analytics",Trading Analysis,Develop market research reports to support trading strategies,174.00%,39,144
"AI, Data and Analytics",Big Data Analytics,Analyse and validate significant volumes of data to discover and quantify patterns and trends to improve business operations,27.90%,817,73015
"AI, Data and Analytics",Data and Statistical Analysis,Interpret and analyse data using statistical techniques to uncover trends and patterns to locate and define new process improvement opportunities,68.90%,416,5691
"AI, Data and Analytics",Research And Information Synthesis,"Identify, source and interpret information from various sources to obtain deep understanding of specific area to identify patterns, uncover insights, integrate findings into recommendations and/or guide decision-making",59.30%,709,19503
"Cloud, Systems and Infrastructure",Business Continuity,"Develop internal infrastructure to ensure organisational resilience and maintenance of the availability, stability and integrity of critical systems, processes and stakeholders that support and drive key aspects of the business. This includes the planning, designing and testing contingency plans and setting up of internal systems and structures which are ready to respond to potential threats and maintain desired levels of continuity.",33.70%,515,6160
"Cloud, Systems and Infrastructure",Business Needs Analysis,"Identify and scope business requirements and priorities through rigorous information gathering and analysis as well as clarification of the solutions, initiatives and programmes to enable effective delivery. This also involves the development of a compelling and defensible business case and the articulation of the potential impact of the solution to the business",61.30%,131,453
"Cloud, Systems and Infrastructure",Business Process Analysis,"Analyse business processes for improvement, optimisation and efficiency",63.70%,120,553
"Cloud, Systems and Infrastructure",Business Process Re-engineering,"Analyse business processes and workflows within the organisation and identification of new approaches to completely redesign business activities or optimise performance, quality and speed of services or processes including exploration of automating and streamlining processes, evaluation of associated costs and benefits of redesigning business processes, as well as identification of potential impact, change management activities and resources required",57.80%,161,1021
"Cloud, Systems and Infrastructure",Business Requirements Mapping,Map business requirements to existing processes to identify gaps or opportunities for possible solutions and evaluate impact of solutions against requirements to propose adjustments as needed,62.90%,812,30428
"Cloud, Systems and Infrastructure",Cloud Computing Application,"Manage supply chains through cloud computing technologies in order to offer a collaborative framework with centralised storage and contact points, fewer visibility barriers, and opportunities to enact simplified, standardised processes",74.10%,470,15706
"Cloud, Systems and Infrastructure",Data Centre Facilities Management,"Manage and maintain data centre resources, facilities and/or physical infrastructure to ensure smooth, stable and sustainable operations within data centres. This includes monitoring and managing energy supply requirements, availability and consumption, ensuring the necessary resources are in place to support a stable power supply and day-to-day management of data centre equipment. This involves the management of the physical environment / conditions within the data centre and implementation of security measures to safeguard the integrity of the data centre",105.10%,92,535
"Cloud, Systems and Infrastructure",Embedded System Integration,Implement control systems to perform pre-defined tasks and also real-time monitoring for the real world,73.90%,35,284
"Cloud, Systems and Infrastructure",Embedded Systems Interface Design,"Design and set up interface and interconnections from or among sensors, through a network, to a main location, to enable transmission of information",210.70%,5,30
"Cloud, Systems and Infrastructure",Embedded Systems Programming,Program an embedded system using permitted programming interfaces provided by the system to support creation of devices that do not operate on traditional operating systems,68.50%,99,2498
"Cloud, Systems and Infrastructure",Enterprise Architecture,"Operationalise a business strategy on the planning and development of business structures and models to facilitate the evolution of a business to its desired future state. This involves the review and prioritisation of market trends, evaluation of alternative strategies, as well as the strategic evaluation and utilisation of enterprise capability and technology to support business requirements",27.30%,18,66
"Cloud, Systems and Infrastructure",Enterprise Database System Administration,"Manage database design, architecture, optimisation, deployment, troubleshooting as well as capacity planning, refinement of logical design, handling of back-up and recovery plans, in order to support business requirements",69.10%,4,29
"Cloud, Systems and Infrastructure",Infrastructure Deployment,"Set up, deploy and decommission infrastructure components and associated equipment in accordance to a set plan and established safety and/or quality procedures. This includes the assessment and preparation of appropriate site locations, infrastructure, the development of an installation plan, layout at the site, the testing of on-site systems, infrastructure components, equipment and the correction of issues and/or malfunctions",91.00%,63,460
"Cloud, Systems and Infrastructure",Infrastructure Design,"Establish design policies and principles covering elements of connectivity, capacity, security, access, interfacing as well as the translation of that into the specifications, outline and design of IT infrastructure within the organisation, in order to support the business requirements",103.80%,161,1465
"Cloud, Systems and Infrastructure",Infrastructure Strategy,"Develop a robust strategy and plan for defining and managing a future-ready IT infrastructure, optimising its capacity, availability and synchronisation to enable an organisation's business operations. This involves evaluating infrastructure models and options for infrastructure components, managing infrastructure investments and facilitating the transformation toward the desired future infrastructure model",97.40%,34,100
"Cloud, Systems and Infrastructure",Infrastructure Support,"Provide services to end users by systematically identifying, classifying and troubleshooting technical issues and incidents that disrupt and impact their day-to-day business activities, within a specified timeframe. This also includes implementing an end-to-end problem management process to analyse underlying problems, advising on infrastructure related upgrades and improvements and developing user guides and training materials",61.30%,136,2074
"Cloud, Systems and Infrastructure",Integrated System Design and Application,"Manage systems of interrelated computing devices and systems, mechanical and digital machines, objects and people to allow transfer of data over the network so as to support business requirements",56.00%,14,76
"Cloud, Systems and Infrastructure",Network Administration and Maintenance,"Monitor network in order to provide for optimum levels of network performance and minimisation of downtime. This includes detection, isolation, recovery and limitation of the impact of failures on the network as well as provision of support to system users through ongoing maintenance information sharing and training",226.50%,15,174
"Cloud, Systems and Infrastructure",Network Configuration,"Configure network hardware and software components according to organisational guidelines and technical requirements. This includes the implementation and configuration of multiple servers, network devices and network management tools as well as the management of user network access to ensure stable and reliable network operations",72.20%,77,1082
"Cloud, Systems and Infrastructure",Network System Planning and Design,Manage planning and design of gas network systems,114.50%,19,79
"Cloud, Systems and Infrastructure",Problem Management,"Manage the lifecycle of problems to prevent problems and incidents from occurring, eliminate recurring incidents and minimise impact of unavoidable incidents",41.00%,456,6966
"Cloud, Systems and Infrastructure",Radio Frequency Engineering,"Design, deploy and maintain radio frequency infrastructure for IT systems and wireless communication networks",166.20%,65,415
"Cloud, Systems and Infrastructure",Self-learning Systems,Design and develop self-learning systems using reinforcement learning and evolutionary learning techniques,65.20%,39,609
"Cloud, Systems and Infrastructure",Solution Architecture,"Design or refine a solution blueprint or structure to guide the development of IT solutions in hardware, software, processes or related components, to meet current and future business needs. The solution architecture developed may lead to broad or specific changes to IT services, operating models and processes, and should provide a framework to guide the development and modification of solutions",107.60%,203,2835
"Cloud, Systems and Infrastructure",Solutioning,"Generate solutions by systematic analysis of the problem, proposing preventive and/or corrective measures and evaluating the effectiveness of the measures from different perspectives",99.60%,425,6190
"Cloud, Systems and Infrastructure",System Configuration Management,"Establish consistency in performance, functional, and physical attributes throughout system lifecycles",50.60%,255,2510
"Cloud, Systems and Infrastructure",Systems Design,"Design systems to meet specified business and user requirements that are compatible with established system architectures, as well as organisational and performance standards",65.30%,498,11087
"Cloud, Systems and Infrastructure",Systems Integration,Realise the system-of-interest by progressively combining system elements in accordance with design requirements and the integration strategy,84.30%,448,10900
"Cloud, Systems and Infrastructure",Systems Thinking Application,"Understand complexity of cause-and-effect relationships of systems and processes across the organisation, as well as evaluate systems based on value-creation and contribution to specific issues",86.70%,230,1262
"Cloud, Systems and Infrastructure",Technology Road Mapping,Plan short-term and long-term goals with specific technology solutions to help meet those goals in order to make capital out of future market needs,75.40%,249,1862
"Cloud, Systems and Infrastructure",Technology Strategy Design,Formulate organisation’s strategic directions for technology adoption,40.10%,29,88
"Cloud, Systems and Infrastructure",Workflow Digitalisation,"Apply digitalisation to enhance efficiency and effectiveness of operational workflows, processes and practices ",1600.00%,9,17
Cyber Security and Risk,Access Control Management,Manage access control to ensure authorised access in accordance with the organisation's policies,234.00%,54,410
Cyber Security and Risk,Common Data Environment Management,Implement Common Data Environment (CDE) to improve the management of data and information to facilitate decision making and increase the efficiency of project delivery,40.10%,5,11
Cyber Security and Risk,Cyber and Data Breach Incident Management,"Detect and report cyber and data-related incidents, identify affected systems and user groups, trigger alerts and announcements to relevant stakeholders and efficient resolution of the situation.",58.70%,100,1264
