Emerging Domain,Title of Priority Skill,Description of Priority Skill,Demand Growth,Transferability,No. of Job Posts in 2021 Requiring this Skill
"Energy, Resource Circularity and Decarbonisation",Smart Grid Implementation and Integration,"Apply knowledge of smart grid architecture, Supervisory Control and Data Acquisition (SCADA) systems, Intelligent Electronic Devices (IED) and communications technology used for the smart grid. Develop and implement an integrated smart grid system using various distributed energy sources and energy management systems.",71.00%,4,5
"Energy, Resource Circularity and Decarbonisation",Energy Management and Audit,Perform energy audits to optimise the energy performance of energy consuming systems and manage energy consumption,74.30%,413,4303
"Energy, Resource Circularity and Decarbonisation",Agriculture and Aquaculture Technology Implementation,"Integrate and deploy emerging agriculture and/or acquaculture technology and techniques in urban farming operations to maximise yield, reduce waste, streamline urban farming operations and achieve sustainable urban food production ecosystem",100.00%,2,2
"Energy, Resource Circularity and Decarbonisation",Urban Farming Business Development and Management,"Apply knowledge of urban farming techniques to formulate competitive agribusiness strategies, incorporating argitechnology innovations and sustainable farm-to-market business practices and value-chain",108.00%,12,27
"Energy, Resource Circularity and Decarbonisation",Waste Disposal Management,Manage the waste disposal process including the transportation process to landfill or incineration plant and operation of the heavy machinery to manage the transportation of the waste,111.30%,157,774
"Energy, Resource Circularity and Decarbonisation",Energy Modelling,"Analyse, model, and predict the performance of energy systems and devices,  and provide recommendations of energy conservation measures",111.80%,10,19
"Energy, Resource Circularity and Decarbonisation",Energy Trading Portfolio Optimisation,Formulate portfolio optimisation strategies to maximise profitability,112.10%,4,9
"Energy, Resource Circularity and Decarbonisation",Agriculture and Aquaculture Techniques in Urban Farming,"Apply agriculture and/or aquaculture principles and techniques in an urban farming setting to cultivate and grow produce, incorporating agritechnology processes to optimise yield in accordance with business objectives",115.40%,51,80
"Energy, Resource Circularity and Decarbonisation",Waste Treatment Management,Manage the waste treatment process including planning of resources to efficiently treat the wasted collected in a manner that is safe to personnel and environment,118.70%,71,293
"Energy, Resource Circularity and Decarbonisation",Solar Photovoltaic Systems Designs,Oversee design of solar Photovoltaic (PV) systems according to project requirements and site constraints,138.70%,11,57
"Energy, Resource Circularity and Decarbonisation",Sustainable Food Production Design,"Design and implement sustainable food production policies, processes and initiatives within the organisation",145.90%,87,342
"Energy, Resource Circularity and Decarbonisation",Renewable Energy System Management and Integration,Analyse impact of renewable energy system integration on energy grid in steady state and during dynamic operation. Apply understanding of grid codes and standards on integration with power electronics and remote maintenance technology,156.50%,97,253
"Energy, Resource Circularity and Decarbonisation",Utilities Management,Develop plans to meet manufacturing utilities and energy requirements while conserving and managing the use of energy and utilities by the facility,158.80%,21,52
"Energy, Resource Circularity and Decarbonisation",Novel Food Development and Implementation,"Research and develop novel food and ingredients based on food bio-science concepts, incorporating  knowledge in agritechnology and innovative food processing technology that yield nutritious value with viable mass market potential",190.70%,90,221
"Energy, Resource Circularity and Decarbonisation",Electricity Import Market Analysis and Development,"Apply concepts of energy sector economics in electricity import market, investment, demand and forecast analysis, pricing strategies and incorporating technology and sustainability considerations in accordance with prevailing energy market regulations and governance to develop a sustainable business proposition and development strategies",218.60%,36,97
"Energy, Resource Circularity and Decarbonisation",Urban Farming Implementation and Management,"Manage the day-to-day urban farming operations which include, supply-chain management, maintenance management and incorporating sustainable and good urban farming practices",300.00%,3,4
