Emerging Domain,Title of Priority Skill,Description of Priority Skill,Demand Growth,Transferability,No. of Job Posts in 2021 Requiring this Skill
"Additive Manufacturing, Advanced Materials and Processes",3D Modelling,Generate 3D models using a variety of modelling software to represent characteristics of a real-world system,85.50%,244,3128
"Additive Manufacturing, Advanced Materials and Processes",Additive Manufacturing,Design and apply additive manufacturing workflows to create three-dimensional objects,81.70%,193,1560
"Additive Manufacturing, Advanced Materials and Processes",Additive Manufacturing Processes and Systems,Identify constraints in the fabrication of complex-shaped components and propose solutions for overcoming the constraints; reversed engineering;  computational analysis and topology optimisation for additive manufacturing processes; re-manufacturing using 3D printing; defining appropriate business cases for additive manufacturing,148.90%,38,108
"Additive Manufacturing, Advanced Materials and Processes","Additive Manufacturing Standards, Qualifications, and Certifications","Identify classification, pre-process qualification for additive manufacturing machine, in-process qualification of additive manufacturing parts at specimen level and post-processing qualification for additive manufacturing parts; based on the Singapore Standard, SS 666:2020 on qualification of parts printed by metal additive manufacturing",67.60%,30,59
"Additive Manufacturing, Advanced Materials and Processes",Advanced Manufacturing in Metrology and Inspection,"Analyse measurement data which contain information on yields to control the process and/or inspect the quality of the product; integrate metrology (real-time, accurate measurements carried out during manufacturing and by in-built technology on factory machines); identify and implement the relevant inline measurement within a manufacturing process; implement the metrology systems and drive quality assurance (QA) that facilitates efficient and cost-effective production processes;  propose the combination of Cyber-Physical Manufacturing Metrology Systems (CPM2Ss) based on integration of the Cyber Physical Systems (CPSs) and connection between Internet of Things (IoTs) and Cloud technology (CT)",70.60%,49,159
"Additive Manufacturing, Advanced Materials and Processes",Architecture Design,"Utilise holistic design approaches for the conceptualisation, development and enhancement of design solutions",43.70%,309,6568
"Additive Manufacturing, Advanced Materials and Processes",Chemical Processing,"Perform chemical processing applications on parts and components using appropriate tools, equipment, materials and methods in accordance with applicable technical manuals and organisational procedures",130.50%,85,404
"Additive Manufacturing, Advanced Materials and Processes",Coating,"Perform surface coating processes on parts and components using appropriate tools, equipment, materials and methods in accordance with applicable technical manuals and organisational procedures.",274.20%,11,14
"Additive Manufacturing, Advanced Materials and Processes",Food Manufacturing Process Design,Analyse food product designs to establish manufacturing process workflows and identify potential risks and problems to reduce manufacturing costs,188.40%,11,24
"Additive Manufacturing, Advanced Materials and Processes",Forming,"Fabricate components through processes using suitable compression, tension, shear, combined and/or other types of stresses to cause material deformation",13.50%,8,42
"Additive Manufacturing, Advanced Materials and Processes",Hazardous Substances Impact Evaluation,Manage relevant information for the evaluation of the health effects caused by hazardous substances commonly found at the workplace to initiate timely intervention actions,76.50%,9,11
"Additive Manufacturing, Advanced Materials and Processes",Joining And Welding,"Fabricate components through the application of heat, pressure and/or friction to join structures together",122.30%,304,4568
"Additive Manufacturing, Advanced Materials and Processes",Machining,"Manage and perform machining activities to manufacture and maintain products and components, incorporating computer numerical control and computer-aided manufacturing processes",98.40%,257,4665
"Additive Manufacturing, Advanced Materials and Processes","Material Management (Planning, Sourcing, Use, Disposal)","Establish plans, organisation procedures and controls of flow of materials from the point of origin to the point of consumption and disposal",77.30%,382,4027
"Additive Manufacturing, Advanced Materials and Processes",Material Studies and Production Processes,"Administer the study of material properties and applications to facilitate production, construction, engineering and processing of materials into specific designs",81.90%,88,620
"Additive Manufacturing, Advanced Materials and Processes",Non-destructive Testing (Eddy Current Inspection),"Perform eddy current inspections on components using appropriate tools, equipment, materials and methods meeting requirements and in accordance with organisational procedures",87.10%,4,7
