id,skill_label,tokenized_sentences
ACC-AUD-4003-1.1,Assurance,"['Develop quality assurance frameworks to meet regulatory requirements.', 'Analyse the format and content of audit report.', 'Assess impact on external audit frameworks arising from changes in regulations, governance, standards and ethics']"
ACC-AUD-4001-1.1,Assurance,"['Use applicable auditing and assurance standards to carry out auditing and assurance activities.', 'Perform engagement procedures in accordance with applicable auditing and assurance standards.', 'Guide the engagement team to perform engagement in accordance with applicable auditing and assurance standards.', 'Determine whether engagement is performed in accordance with applicable auditing and assurance standards']"
ACC-PVE-3001-1.1,Assurance,"['Possess the state of mind and appearance whereby integrity, objectivity or professional scepticism are not compromised.', ""Communicate importance of auditor's independence and identify risk of threats to independence."", 'Analyse risks and impact of threats to independence.', 'Evaluate risks of threats to independence and ensure the relevant safeguards are in place.', 'Drive independence and prepare safeguards against threats to achieve conformance with relevant standards']"
ACC-AUD-4004-1.1,Assurance,"['Perform procedures involved prior to expressing an opinion.', 'Perform engagement completion procedures.', 'Evaluate engagement completion procedures.', 'Form and express opinions through assurance report']"
ACC-AUD-4005-1.1,Assurance,"['Perform assurance procedures in accordance with the engagement plans.', 'Perform assurance procedures.', 'Perform assurance procedures on complex and high-risk areas']"
ACC-AUD-4006-1.1,Assurance,"['Develop engagement plans which describe the nature, timing and extent of planned engagement procedures.', 'Implement engagement plans.', 'Develop engagement plans.', 'Approve engagement plans and deliverables']"
ACC-AUD-4007-1.1,Assurance,"['Set up control procedures for an assurance engagement.', 'Adhere to quality control procedures during assurance engagement.', 'Lead the engagement team to comply with quality control procedures.', 'Establish quality control systems, policies and procedures']"
ACC-AUD-4008-1.1,Assurance,"['Review evidence obtained, procedures performed, and conclusions reached for the engagement.', 'Review evidence obtained, procedures performed, and conclusions reached.', 'Review evidence obtained, procedures performed, and conclusions reached for complex and high-risk areas.', 'Evaluate the quality of evidence obtained, procedures performed, and conclusions reached']"
ACC-MAC-3001-1.1,Business Management,"['Compare organisational performance to other organisations and industries.', 'Identify internal and external factors that affect business performance.', 'Measure business performance using internal and external benchmark.', 'Assess competitors’ future trends and strategies using benchmark data.', 'Identify internal and external factors that affect business performance.', 'Measure business performance using internal and external benchmarks.', 'Assess competitors’ future trends and strategies using benchmark data.', 'Identify internal and external factors that affect business performance.', 'Measure business performance using internal and external benchmark.', 'Assess competitors’ future trends and strategies using benchmark data']"
ACC-IAD-3001-1.1,Business Management,"['Assess the impact of changes in the business organisation, environment, and industry.', 'Identify global developments and regulatory framework applicable to organisation.', 'Analyse implications of significant changes to the organisation, business units and key processes.', 'Evaluate potential impact of changes on business, lead through changes and prepare for disruptions.', 'Lead stakeholders and communicate changes required to realign organisation’s strategic objectives.', 'Identify latest industrial developments and regulatory framework applicable to organisation.', 'Analyse the implications of significant changes to the organisation, business operations and key processes.', 'Evaluate potential impact of changes on business, lead through changes and prepare for disruptions']"
ACC-RIM-3007-1.1,Business Management,"['Develop business continuity strategies to manage risks in response to disruptive events.', 'Facilitate the development of business continuity strategies and plans.', 'Manage and evaluate the development of specific risk mitigation strategies for business-critical functions in response to crisis situations.', 'Formulate strategies and guidelines for the development and implementation of business continuity plan to ensure rapid responses during disruptive events']"
ACC-SBM-2001-1.1,Business Management,"[""Develop and implement plans to enhance organisation's business performance and growth."", 'Demonstrate understanding of client’s organisation.', 'Identify effective engagement response to achieve engagement profitability.', 'Review strategic plan for existing and potential service opportunities.', 'Develop effective procurement plans and pricing of products and services.', 'Lead new ways to transform and grow business']"
ACC-BTF-3001-1.1,Business Management,"['Transform businesses through innovation and embrace changes to drive improvements.', 'Identify improvement opportunities and make recommendations for change.', 'Evaluate new ways to transform and grow business.', 'Create an environment to encourage improvements and influence management to recognise the need for change and innovation']"
